date,employee_title,location,employee_status,outlook,recommend,approve_ceo,review_title,years_at_company,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt
Mon Jun 24 2019 19:34:24 GMT-0700 (Pacific Daylight Time),Senior SAP Basis Administrator,"New York, NY",Current Employee,Positive,Recommends,,Awesome Company,1,,,,,5.0,3.0,4.0,3.0,4.0,4.0
Sat Jun 22 2019 10:24:26 GMT-0700 (Pacific Daylight Time),Team Leader,,Current Employee,Positive,Recommends,,Fantastic place to work with a very high ceiling!,1,1,,,,5.0,5.0,4.0,5.0,4.0,5.0
Tue Jun 18 2019 11:59:01 GMT-0700 (Pacific Daylight Time),Enterprise Sales,"New York, NY",Former Employee,Positive,Recommends,,bloomberg,3,1,,,,5.0,1.0,3.0,3.0,5.0,3.0
Tue Jun 11 2019 08:06:31 GMT-0700 (Pacific Daylight Time),Sales and Relationship Manager,"New York, NY",Former Employee,Positive,Recommends,,Great company to learn and experience the financial markets,,4,,,,4.0,4.0,3.0,3.0,3.0,2.0
Thu Jun 20 2019 05:52:34 GMT-0700 (Pacific Daylight Time),Bloomberg Intelligence Associate,"New York, NY",Former Employee,Positive,Recommends,,Great place to learn and start career,5,,,,,4.0,3.0,5.0,5.0,5.0,3.0
Tue Jun 11 2019 22:58:28 GMT-0700 (Pacific Daylight Time),Financial Software Developer,"Skillman, NJ",Current Employee,Positive,Recommends,,Overall great place to be,5,,,,,5.0,5.0,5.0,5.0,4.0,3.0
Tue Jun 11 2019 18:25:59 GMT-0700 (Pacific Daylight Time),Data Analyst,,Current Employee,Positive,Recommends,,Global Data Analyst,1,,,,,4.0,4.0,4.0,4.0,3.0,3.0
Tue Jun 11 2019 13:08:53 GMT-0700 (Pacific Daylight Time),Data Journalist,"New York, NY",Former Employee,Positive,Recommends,,Great benefits,1,,,,,5.0,4.0,4.0,4.0,4.0,4.0
Mon Jun 24 2019 09:29:48 GMT-0700 (Pacific Daylight Time),Sales Associate,"New York, NY",Former Employee,Positive,Recommends,,Not bad but not great,1,,,,,3.0,4.0,5.0,3.0,3.0,4.0
Thu Jun 20 2019 15:30:42 GMT-0700 (Pacific Daylight Time),Team Lead,,Current Employee,Neutral,Recommends,,"Some good, and some bad",5,1,,,,3.0,5.0,3.0,3.0,5.0,3.0
Fri Jun 07 2019 19:53:17 GMT-0700 (Pacific Daylight Time),Team Lead,"New York, NY",Current Employee,Neutral,Recommends,,Great Company,8,,,,,4.0,5.0,4.0,3.0,5.0,3.0
Thu Jun 06 2019 14:41:52 GMT-0700 (Pacific Daylight Time),Reporter,"San Francisco, CA",Current Employee,Neutral,Recommends,,Love Working Here,3,,,,,5.0,5.0,5.0,5.0,5.0,5.0
