date,employee_title,location,employee_status,outlook,recommend,approve_ceo,review_title,years_at_company,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt
Thu Apr 25 2019 07:06:24 GMT-0700 (Pacific Daylight Time),Anonymous Employee,,Current Employee,Positive,Recommends,,Great company,1,1,,,,5.0,4.0,4.0,5.0,3.0,3.0
Sat Jun 22 2019 11:39:02 GMT-0700 (Pacific Daylight Time),Anonymous Employee,"Greenville, SC",Former Employee,Positive,Recommends,,Sad time for GE and employees,1,1,,,,4.0,3.0,3.0,2.0,4.0,1.0
Mon Jun 24 2019 07:03:02 GMT-0700 (Pacific Daylight Time),Systems Engineer,,Current Employee,Positive,Recommends,,"Not a bad gig, management was overbearing",,,,,,4.0,,,,,
Mon Jun 24 2019 08:48:01 GMT-0700 (Pacific Daylight Time),Engineer,"Columbus, OH",Current Employee,Positive,Recommends,,good company,1,,,,,4.0,4.0,4.0,4.0,4.0,4.0
Wed Jun 19 2019 10:38:46 GMT-0700 (Pacific Daylight Time),IT Director,"Norwalk, CT",Current Employee,Positive,Recommends,,Great place to work,5,,,,,5.0,5.0,5.0,5.0,5.0,5.0
Sun Jun 16 2019 08:00:22 GMT-0700 (Pacific Daylight Time),Engineering Manager,"Greenville, SC",Current Employee,Positive,Recommends,,Still a great company,5,,,,,4.0,5.0,3.0,5.0,4.0,4.0
Sun Jun 16 2019 10:51:44 GMT-0700 (Pacific Daylight Time),CNC Operator,"Dover, OH",Former Employee,Positive,Recommends,,Best company I’ve worked for.,8,,,,,4.0,4.0,4.0,3.0,4.0,3.0
Sat Jun 15 2019 11:48:51 GMT-0700 (Pacific Daylight Time),Mechanical Engineer,,Former Employee,Positive,Recommends,,Good work life balance but slow professional growth,5,,,,,4.0,,,,,
Fri Jun 14 2019 07:43:37 GMT-0700 (Pacific Daylight Time),Executive,,Current Employee,Positive,Recommends,,Executive Review,8,,,,,4.0,3.0,5.0,5.0,5.0,5.0
Tue Jun 11 2019 16:03:58 GMT-0700 (Pacific Daylight Time),Operations Analyst,,Former Employee,Neutral,Recommends,,Tips to navigate at GE,8,,,,,4.0,4.0,5.0,5.0,4.0,4.0
Mon Jun 24 2019 20:27:55 GMT-0700 (Pacific Daylight Time),Mechanical Design Engineer,"Minden, NV",Current Employee,Neutral,Recommends,,"Great Benefits, Poor Management",5,,,,,3.0,4.0,2.0,2.0,4.0,1.0
Sun Jun 23 2019 15:21:56 GMT-0700 (Pacific Daylight Time),Supply Chain Leader,"Greenville, SC",Current Employee,Neutral,Recommends,,Greenville,3,,,,,2.0,4.0,2.0,3.0,3.0,2.0
Sat Jun 08 2019 20:55:47 GMT-0700 (Pacific Daylight Time),Embedded Software Engineer,"Rochester, NY",Former Employee,Neutral,Recommends,,GE MDS,1,,,,,4.0,4.0,3.0,4.0,5.0,4.0
Tue Jun 04 2019 18:35:13 GMT-0700 (Pacific Daylight Time),Anonymous Employee,,Former Employee,Neutral,Recommends,,Senior Engineer,,,,,,5.0,,,,,
Wed Jun 19 2019 11:57:13 GMT-0700 (Pacific Daylight Time),Materials Coordinator,,Current Employee,Neutral,Recommends,,Formal Review,,,,,,2.0,2.0,2.0,2.0,2.0,1.0
Tue Jun 04 2019 17:31:35 GMT-0700 (Pacific Daylight Time),Shipping and Receiving,"Wilmington, NC",Current Employee,Neutral,Recommends,,"The people are friendly, and have good benefits.",1,,,,,4.0,4.0,3.0,3.0,4.0,3.0
