date,employee_title,location,employee_status,outlook,recommend,approve_ceo,review_title,years_at_company,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt
Mon Jun 24 2019 07:12:59 GMT-0700 (Pacific Daylight Time),Program Manager,,Current Employee,Neutral,Recommends,,JPMorgan Chase,1,,,,,5.0,4.0,4.0,5.0,4.0,4.0
Sun Jun 23 2019 08:39:02 GMT-0700 (Pacific Daylight Time),Loan Officer,,Former Employee,Neutral,Recommends,,Call center loans,,1,,,,4.0,,,,,
Wed Jun 19 2019 19:44:23 GMT-0700 (Pacific Daylight Time),Senior Specialist,"San Antonio, TX",Current Employee,Neutral,Recommends,,Pros and cons,5,2,,,,4.0,4.0,5.0,3.0,5.0,3.0
Sun Jun 23 2019 23:11:23 GMT-0700 (Pacific Daylight Time),Anonymous Employee,,Former Employee,Neutral,Recommends,,Amazon,,,,,,5.0,5.0,4.0,5.0,5.0,3.0
Mon Jun 24 2019 09:17:33 GMT-0700 (Pacific Daylight Time),Collections Specialist II,"Lewisville, TX",Current Employee,Neutral,Recommends,,Great job good culture,1,,,,,4.0,4.0,4.0,4.0,4.0,4.0
Sun Jun 23 2019 11:38:13 GMT-0700 (Pacific Daylight Time),Senior Specialist,,Current Employee,Neutral,Recommends,,Great company,1,,,,,4.0,5.0,5.0,4.0,,
Tue Jun 18 2019 07:04:51 GMT-0700 (Pacific Daylight Time),Associate Financial Analyst,"Chicago, IL",Former Employee,Neutral,Recommends,,Endless Opportunity,5,1,,,,5.0,3.0,5.0,5.0,5.0,5.0
Sat Jun 22 2019 13:33:56 GMT-0700 (Pacific Daylight Time),Registered Client Service Associate,,Current Employee,Neutral,Recommends,,Great Job,1,,,,,4.0,2.0,5.0,2.0,3.0,4.0
Sat Jun 22 2019 16:54:56 GMT-0700 (Pacific Daylight Time),Sales,"New York, NY",Former Employee,Neutral,Recommends,,Large company,5,,,,,4.0,,,,,
Fri Jun 21 2019 12:11:29 GMT-0700 (Pacific Daylight Time),Investment Banking Analyst,,Current Employee,Neutral,Recommends,,Investment Banking Analyst review,,,,,,5.0,,,,,
Mon Jun 17 2019 19:37:57 GMT-0700 (Pacific Daylight Time),Project Management Manager,,Current Employee,Positive,Recommends,,N/A,,1,,,,4.0,,,,,
Tue Jun 18 2019 10:43:44 GMT-0700 (Pacific Daylight Time),Legal Specialist,"Brooklyn, NY",Former Employee,Positive,Recommends,,Legal Specialist,8,1,,,,4.0,4.0,3.0,3.0,5.0,3.0
Tue Jun 18 2019 12:13:34 GMT-0700 (Pacific Daylight Time),Specialist II,"Springfield, MO",Former Employee,Positive,Recommends,,Wonderful company to work for,1,1,,,,4.0,2.0,4.0,2.0,4.0,5.0
Wed Jun 19 2019 19:27:04 GMT-0700 (Pacific Daylight Time),Private Client Banker,,Current Employee,Positive,Recommends,,Great,1,,,,,4.0,2.0,4.0,4.0,4.0,3.0
Tue Jun 18 2019 13:14:57 GMT-0700 (Pacific Daylight Time),Anonymous Employee,,Former Employee,Positive,Recommends,,Good times,,,,,,5.0,,,,,
Tue Jun 18 2019 13:49:05 GMT-0700 (Pacific Daylight Time),Assistant Manager,"Martinez, CA",Current Employee,Positive,Recommends,,Benefits,,,,,,4.0,3.0,5.0,5.0,5.0,3.0
Sun Jun 16 2019 22:48:19 GMT-0700 (Pacific Daylight Time),Associate,"Jersey City, NJ",Current Employee,Positive,Recommends,,Excellent company for up and coming technical servies,1,,,,,5.0,5.0,4.0,4.0,5.0,3.0
Mon Jun 17 2019 13:21:41 GMT-0700 (Pacific Daylight Time),Anonymous Employee,,Current Employee,Positive,Recommends,,Good culture,,,,,,5.0,,,,,
Sat Jun 15 2019 21:10:01 GMT-0700 (Pacific Daylight Time),Cleaning Associate,"Chicago, IL",Former Employee,Positive,Recommends,,Housekeeping,5,,,,,5.0,5.0,4.0,5.0,5.0,5.0
Sun Jun 16 2019 11:05:40 GMT-0700 (Pacific Daylight Time),Information Technology Manager,"New York, NY",Former Employee,Positive,Recommends,,Great for growth,1,,,,,5.0,3.0,4.0,5.0,5.0,5.0
Sat Jun 15 2019 15:47:34 GMT-0700 (Pacific Daylight Time),Information Technology Manager,"San Francisco, CA",Current Employee,Neutral,Recommends,,Has been a great experience so far,,,,,,5.0,5.0,5.0,4.0,5.0,4.0
Sat Jun 15 2019 13:17:24 GMT-0700 (Pacific Daylight Time),Machine Learning Engineer,"New York, NY",Current Employee,Neutral,Recommends,,"Lot of interesting projects, well payed for industry",1,,,,,4.0,4.0,5.0,5.0,4.0,2.0
Thu Jun 13 2019 18:36:58 GMT-0700 (Pacific Daylight Time),Vice President,,Current Employee,Neutral,Recommends,,Nice company to work with,,,,,,4.0,3.0,4.0,4.0,1.0,4.0
Thu Jun 13 2019 21:41:18 GMT-0700 (Pacific Daylight Time),Associate,,Current Employee,Neutral,Recommends,,A big company with many teams,,,,,,4.0,5.0,5.0,3.0,4.0,3.0
Fri Jun 14 2019 02:54:32 GMT-0700 (Pacific Daylight Time),Senior SQL Server Database Administrator,"Houston, TX",Current Employee,Neutral,Recommends,,Good to work for,3,,,,,4.0,3.0,4.0,3.0,4.0,3.0
Fri Jun 14 2019 06:31:20 GMT-0700 (Pacific Daylight Time),Associate Fund Accountant,"Brooklyn, NY",Former Employee,Neutral,Recommends,,Great company to start the career,3,,,,,4.0,3.0,4.0,5.0,3.0,3.0
Fri Jun 14 2019 12:24:48 GMT-0700 (Pacific Daylight Time),Lead Teller Operations Specialist,,Former Employee,Neutral,Recommends,,Great Experience,3,,,,,4.0,3.0,4.0,4.0,3.0,4.0
Thu Jun 13 2019 09:05:24 GMT-0700 (Pacific Daylight Time),Vice President Operations,"Dallas, TX",Former Employee,Neutral,Recommends,,Great Company to work for and grow,1,,,,,5.0,4.0,5.0,5.0,5.0,4.0
Thu Jun 13 2019 12:32:34 GMT-0700 (Pacific Daylight Time),Vice President,"Columbus, OH",Former Employee,Neutral,Recommends,,It is what it is,5,,,,,5.0,5.0,5.0,5.0,5.0,5.0
