date,employee_title,location,employee_status,outlook,recommend,approve_ceo,review_title,years_at_company,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt
Mon Jun 24 2019 11:26:15 GMT-0700 (Pacific Daylight Time),Associate Category Manager,,Current Employee,Positive,Recommends,,Work,,,,,,5.0,5.0,5.0,5.0,5.0,5.0
Sun Jun 23 2019 11:52:17 GMT-0700 (Pacific Daylight Time),Lead Teacher,,Former Employee,Positive,Recommends,,Great,3,,,,,5.0,5.0,5.0,5.0,,
Tue Jun 18 2019 12:28:05 GMT-0700 (Pacific Daylight Time),Anonymous Employee,"Purchase, NY",Former Employee,Positive,Recommends,,Overall Great Place to Work,3,,,,,4.0,4.0,4.0,4.0,4.0,4.0
Fri Jun 14 2019 17:47:58 GMT-0700 (Pacific Daylight Time),Anonymous Employee,,Current Employee,Positive,Recommends,,Amazing,,,,,,5.0,5.0,5.0,5.0,5.0,5.0
Fri Jun 14 2019 23:06:52 GMT-0700 (Pacific Daylight Time),Warehouse Loader,"Wytheville, VA",Current Employee,Positive,Recommends,,Great company,1,,,,,5.0,5.0,5.0,5.0,5.0,5.0
Sat Jun 15 2019 13:10:27 GMT-0700 (Pacific Daylight Time),Merchandiser,"Indianapolis, IN",Former Employee,Positive,Recommends,,Good steady income,1,,,,,4.0,2.0,3.0,4.0,4.0,3.0
Mon Jun 10 2019 10:59:32 GMT-0700 (Pacific Daylight Time),Senior Human Resources Representative,,Current Employee,Positive,Recommends,,Broad Generalist Experience,3,1,,,,4.0,3.0,3.0,3.0,5.0,4.0
Tue Jun 11 2019 10:17:43 GMT-0700 (Pacific Daylight Time),Warehouse Operations Supervisor,"Louisville, KY",Current Employee,Positive,Recommends,,8 years that I do not regret,8,,,,,4.0,2.0,3.0,4.0,4.0,3.0
Fri Jun 07 2019 21:19:24 GMT-0700 (Pacific Daylight Time),Overnight Stocker,"Death Valley, CA",Former Employee,Positive,Recommends,,good job to have,1,,,,,5.0,5.0,5.0,5.0,5.0,5.0
Thu Jun 06 2019 11:28:16 GMT-0700 (Pacific Daylight Time),District Sales Manager,,Current Employee,Positive,Recommends,,Great job,,,,,,5.0,1.0,5.0,5.0,5.0,5.0
Tue Jun 04 2019 20:29:52 GMT-0700 (Pacific Daylight Time),Technical Support Analyst,"Plano, TX",Current Employee,Neutral,Recommends,,I've enjoyed my time here,3,,,,,4.0,5.0,3.0,2.0,3.0,3.0
Wed Jun 19 2019 13:52:16 GMT-0700 (Pacific Daylight Time),Server Capacity Management,,Current Employee,Neutral,Recommends,,Capacity MGMT,,,,,,3.0,3.0,5.0,2.0,2.0,3.0
Wed Jun 19 2019 06:22:55 GMT-0700 (Pacific Daylight Time),Master Data Analyst,"Plano, TX",Current Employee,Neutral,Recommends,,Team player,8,,,,,2.0,3.0,1.0,2.0,2.0,2.0
