date,employee_title,location,employee_status,outlook,recommend,approve_ceo,review_title,years_at_company,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt
Thu Jun 27 2019 15:42:58 GMT-0700 (Pacific Daylight Time),Product Specialist,"Salt Lake City, UT",Former Employee,Positive,Recommends,,Great place to work!,1,,,,,5.0,5.0,5.0,5.0,5.0,5.0
Thu Aug 28 2014 21:07:35 GMT-0700 (Pacific Daylight Time),Anonymous Employee,,Current Employee,Positive,Recommends,,"Challenging, Rewarding, but ZERO work/life balance. Most satisfying , most difficult and most rewarding job ever.",1,895,,,,4.0,1.0,3.0,3.0,3.0,3.0
Wed May 13 2015 05:14:23 GMT-0700 (Pacific Daylight Time),Apple At Home Advisor,"Lakewood, CO",Current Employee,Positive,Recommends,,At-Home-Advisor,1,469,,,,5.0,3.0,5.0,5.0,4.0,5.0
Fri Mar 10 2017 05:36:49 GMT-0800 (Pacific Standard Time),Specialist,"Tempe, AZ",Current Employee,Positive,Recommends,,A Company as Meticulous as Their Products!,1,257,,,,5.0,4.0,5.0,5.0,4.0,5.0
Wed Jun 26 2019 18:53:24 GMT-0700 (Pacific Daylight Time),Anonymous Employee,,Current Employee,Positive,Recommends,,A trove of wonderful memories and experiences that will last for a lifetime.. for a price.,,,,,,4.0,3.0,4.0,5.0,5.0,4.0
Tue Jun 25 2019 17:51:32 GMT-0700 (Pacific Daylight Time),Reseller Specialist,"Los Angeles, CA",Former Employee,Positive,Recommends,,I loved my job and my coworkers,1,,,,,5.0,5.0,5.0,4.0,5.0,5.0
Wed Jun 26 2019 00:41:04 GMT-0700 (Pacific Daylight Time),Software Engineer,"Los Angeles, CA",Former Employee,Positive,Recommends,,It's great,3,,,,,5.0,5.0,5.0,5.0,5.0,5.0
Wed Jun 26 2019 07:25:37 GMT-0700 (Pacific Daylight Time),Technical Specialist,"Salt Lake City, UT",Former Employee,Positive,Recommends,,The Apple environment will change how you view the world!,5,,,,,5.0,5.0,5.0,4.0,5.0,4.0
Wed Jun 26 2019 09:31:01 GMT-0700 (Pacific Daylight Time),Team Lead,"Elk Grove, CA",Former Employee,Positive,Recommends,,Team lead at apple,,,,,,5.0,4.0,4.0,4.0,4.0,4.0
Wed Jun 26 2019 08:51:51 GMT-0700 (Pacific Daylight Time),Redzone Specialist,"Woodmere, OH",Current Employee,Positive,Recommends,,Lots of hours,1,,,,,4.0,2.0,5.0,4.0,5.0,5.0
