date,employee_title,location,employee_status,outlook,recommend,approve_ceo,review_title,years_at_company,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt
Tue Nov 13 2018 12:43:13 GMT-0800 (Pacific Standard Time),Administrative Support,"Houston, TX",Current Employee,Positive,Recommends,,Opportunities are endless,1,1,,,,5.0,5.0,5.0,5.0,4.0,5.0
Mon Apr 15 2019 09:17:00 GMT-0700 (Pacific Daylight Time),Anonymous Employee,,Former Employee,Positive,Recommends,,Benefits not worth the stress,1,1,,,,1.0,3.0,1.0,1.0,4.0,1.0
Fri Aug 03 2018 08:48:27 GMT-0700 (Pacific Daylight Time),Corporate Accountant,,Former Employee,Positive,Recommends,,RUN FAR FAR AWAY AND NEVER RETURN!,1,7,,,,1.0,1.0,1.0,1.0,2.0,1.0
Fri Jun 29 2018 12:41:39 GMT-0700 (Pacific Daylight Time),Professional Paycheck Collector,,Former Employee,Positive,Recommends,,Very political,,4,,,,2.0,3.0,1.0,2.0,4.0,1.0
Tue May 08 2018 10:50:32 GMT-0700 (Pacific Daylight Time),Anonymous Employee,,Current Employee,Positive,Recommends,,IT,,2,,,,3.0,3.0,3.0,2.0,4.0,2.0
Fri May 04 2018 05:07:57 GMT-0700 (Pacific Daylight Time),"Senior Manager, Talent Acquisition","Houston, TX",Current Employee,Positive,Recommends,,"Senior Manager, Talent Acquisition",1,1,,,,5.0,5.0,5.0,4.0,4.0,5.0
Thu Apr 26 2018 08:43:53 GMT-0700 (Pacific Daylight Time),Anonymous Employee,"Houston, TX",Former Employee,Positive,Recommends,,Purchasing Manager,5,,,,,5.0,5.0,5.0,5.0,5.0,5.0
Sun Mar 25 2018 08:49:14 GMT-0700 (Pacific Daylight Time),Anonymous Employee,,Former Employee,Positive,Recommends,,"If you like working in a hostile environment, then this is the place for you",,6,,,,1.0,1.0,1.0,2.0,3.0,1.0
Tue Jan 02 2018 15:41:00 GMT-0800 (Pacific Standard Time),IBM Mainframe Database Administrator,"Houston, TX",Former Employee,Positive,Recommends,,Working 9 years & 2 months in Friedkin's information technology (IT) department,8,20,,,,1.0,1.0,1.0,1.0,3.0,1.0
Wed Oct 18 2017 09:51:42 GMT-0700 (Pacific Daylight Time),Anonymous Employee,,Current Employee,Negative,Recommends,,Great work life balance,1,1,,,,4.0,5.0,5.0,5.0,5.0,5.0
Sat Sep 30 2017 11:10:52 GMT-0700 (Pacific Daylight Time),Anonymous Employee,,Current Employee,Negative,Recommends,,Senior Manager,,7,,,,1.0,1.0,1.0,1.0,3.0,1.0
Mon Jul 10 2017 11:07:18 GMT-0700 (Pacific Daylight Time),Senior Software Engineer,"Houston, TX",Current Employee,Negative,Recommends,,Great Company to work for - 2+ years employed,3,,,,,4.0,4.0,5.0,4.0,5.0,5.0
Thu May 04 2017 13:05:56 GMT-0700 (Pacific Daylight Time),Anonymous Employee,,Former Employee,Negative,Recommends,,Good Company,,,,,,4.0,4.0,5.0,3.0,4.0,2.0
Wed Sep 14 2016 20:14:35 GMT-0700 (Pacific Daylight Time),Anonymous Employee,"Houston, TX",Current Employee,Negative,Recommends,,Varies on which company one works for,3,2,,,,5.0,1.0,5.0,5.0,5.0,4.0
Tue Jul 05 2016 22:42:10 GMT-0700 (Pacific Daylight Time),Corporate Recruiter,"Katy, TX",Former Employee,Negative,Recommends,,Recruiter,1,3,,,,5.0,5.0,5.0,3.0,5.0,3.0
Tue Jun 14 2016 08:11:24 GMT-0700 (Pacific Daylight Time),Facilities and Safety Coordinator,"Houston, TX",Former Employee,Negative,Recommends,,Facilities and Safety Coordinator,,1,,,,4.0,4.0,5.0,4.0,4.0,3.0
Sat Mar 26 2016 18:02:31 GMT-0700 (Pacific Daylight Time),Anonymous Employee,"Houston, TX",Former Employee,Negative,Recommends,,Be sure you can handle the culture...,1,23,,,,3.0,4.0,2.0,3.0,3.0,2.0
Thu May 26 2016 11:39:13 GMT-0700 (Pacific Daylight Time),Anonymous Employee,,Former Employee,Negative,Recommends,,Worst company on the planet!!,,6,,,,1.0,1.0,1.0,1.0,1.0,1.0
