date,employee_title,location,employee_status,outlook,recommend,approve_ceo,review_title,years_at_company,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt
Tue Jan 22 2019 11:12:37 GMT-0800 (Pacific Standard Time),Associate Software Developer,"Portsmouth, NH",Current Employee,Positive,Recommends,,Great Company!,3,,,,,5.0,5.0,5.0,5.0,5.0,5.0
Mon Jun 24 2019 18:26:21 GMT-0700 (Pacific Daylight Time),Licensed Customer Service Representative,"Tampa, FL",Current Employee,Positive,Recommends,,Working at Liberty Mutual,1,,,,,4.0,4.0,5.0,4.0,5.0,5.0
Fri Jun 21 2019 06:40:55 GMT-0700 (Pacific Daylight Time),IT Helpdesk,"Dover, NH",Current Employee,Positive,Recommends,,Great Company to work for!,3,,,,,5.0,5.0,5.0,5.0,5.0,5.0
Wed Jun 12 2019 17:34:08 GMT-0700 (Pacific Daylight Time),Senior Software Developer,"Indianapolis, IN",Current Employee,Positive,Recommends,,Great place to work in I.T.,1,1,,,,5.0,4.0,5.0,4.0,5.0,4.0
Sun Jun 16 2019 07:18:43 GMT-0700 (Pacific Daylight Time),Customer Service Specialist,,Former Employee,Positive,Recommends,,Great company,1,,,,,5.0,4.0,5.0,3.0,4.0,5.0
Tue Jun 11 2019 09:03:44 GMT-0700 (Pacific Daylight Time),Field Insurance Agent,"Cumming, GA",Current Employee,Positive,Recommends,,Sales Position,1,1,,,,5.0,5.0,5.0,4.0,5.0,5.0
Fri Jun 07 2019 09:53:27 GMT-0700 (Pacific Daylight Time),Senior Claims Specialist,"Somerset, NJ",Former Employee,Positive,Recommends,,Excellent Company to work fr,1,1,,,,5.0,5.0,5.0,5.0,5.0,5.0
Fri Jun 21 2019 13:27:06 GMT-0700 (Pacific Daylight Time),Claims Customer Care Associate,"Plano, TX",Former Employee,Positive,Recommends,,It's not really all about the customer,,1,,,,3.0,,,,,
Wed Jun 12 2019 09:39:37 GMT-0700 (Pacific Daylight Time),Customer Service Representative,"Springfield, MA",Current Employee,Positive,Recommends,,All about metrics/very draining environment,1,8,,,,2.0,4.0,1.0,4.0,4.0,2.0
Tue Jun 18 2019 05:59:13 GMT-0700 (Pacific Daylight Time),Sales Representative,,Former Employee,Positive,Recommends,,not the best,,1,,,,2.0,3.0,4.0,1.0,2.0,1.0
Mon May 13 2019 18:47:11 GMT-0700 (Pacific Daylight Time),"Associate II, Analytics","Boston, MA",Current Employee,Positive,Recommends,,Analytics Development Program,1,9,,,,4.0,4.0,5.0,5.0,5.0,4.0
Tue May 21 2019 09:38:49 GMT-0700 (Pacific Daylight Time),CRC,,Current Employee,Positive,Recommends,,Great Company BUT Its still a call center,1,3,,,,5.0,3.0,5.0,2.0,5.0,3.0
Thu May 30 2019 15:17:34 GMT-0700 (Pacific Daylight Time),Customer Service Representative,"Plano, TX",Former Employee,Positive,Recommends,,Great,3,,,,,5.0,5.0,5.0,5.0,5.0,5.0
Tue Jun 11 2019 10:14:01 GMT-0700 (Pacific Daylight Time),Insurance Sales Representative,"Plano, TX",Former Employee,Positive,Recommends,,"Great training, poor leadership",1,1,,,,3.0,3.0,2.0,4.0,4.0,2.0
Wed May 29 2019 12:39:55 GMT-0700 (Pacific Daylight Time),Recruiting Manager,"Dallas, TX",Current Employee,Positive,Recommends,,Liberty Mutual has great benefits and work life balance!,1,,,,,5.0,5.0,5.0,5.0,5.0,5.0
Fri May 31 2019 09:06:26 GMT-0700 (Pacific Daylight Time),Insurance Advisor,"Lake Mary, FL",Former Employee,Positive,Recommends,,"Great place for men, not women",1,10,,,,2.0,4.0,1.0,4.0,4.0,2.0
Fri May 24 2019 15:33:17 GMT-0700 (Pacific Daylight Time),Sales Representative,"Houston, TX",Former Employee,Positive,Recommends,,Overall good company,5,2,,,,4.0,4.0,2.0,4.0,4.0,2.0
Tue May 21 2019 16:48:23 GMT-0700 (Pacific Daylight Time),Software Developer,"Exeter, NH",Current Employee,Positive,Recommends,,Large tech ambition slowed down by company culture,3,3,,,,4.0,4.0,2.0,3.0,4.0,2.0
Wed Jun 12 2019 04:53:03 GMT-0700 (Pacific Daylight Time),Sales,"Houston, TX",Former Employee,Positive,Recommends,,sales,1,1,,,,2.0,1.0,1.0,1.0,1.0,1.0
Tue May 28 2019 05:23:11 GMT-0700 (Pacific Daylight Time),Officer,"Boston, MA",Former Employee,Negative,Doesn't Recommend,,Great Company,8,,,,,5.0,3.0,5.0,5.0,5.0,5.0
Sun May 26 2019 19:17:26 GMT-0700 (Pacific Daylight Time),Property Claims Adjuster,,Current Employee,Negative,Doesn't Recommend,,Overall great company,1,,,,,5.0,,,,,
Thu Jun 06 2019 10:54:23 GMT-0700 (Pacific Daylight Time),Anonymous Employee,,Current Employee,Negative,Doesn't Recommend,,ok place,1,1,,,,3.0,1.0,1.0,1.0,,
Wed Jun 05 2019 20:28:47 GMT-0700 (Pacific Daylight Time),Sales Representative,"Columbus, OH",Former Employee,Negative,Doesn't Recommend,,Beware of the huge base drop,1,1,,,,2.0,5.0,5.0,2.0,3.0,4.0
Thu Apr 25 2019 11:11:58 GMT-0700 (Pacific Daylight Time),Actuarial Analyst,"Seattle, WA",Former Employee,Negative,Doesn't Recommend,,Loved the flexibility and the people!,3,8,,,,5.0,5.0,4.0,5.0,3.0,4.0
Wed May 22 2019 10:45:11 GMT-0700 (Pacific Daylight Time),Associate Financial Analyst,"Seattle, WA",Current Employee,Negative,Doesn't Recommend,,Decent salary and benefits,1,,,,,4.0,5.0,3.0,3.0,4.0,3.0
Wed Jun 05 2019 18:43:01 GMT-0700 (Pacific Daylight Time),Anonymous Employee,,Former Employee,Negative,Doesn't Recommend,,Good Place to Start Career,1,,,,,3.0,,,,,
Tue Jun 04 2019 17:34:43 GMT-0700 (Pacific Daylight Time),Insurance Agent,,Current Employee,Negative,Doesn't Recommend,,Better than most insurance companies,,,,,,3.0,,,,,
Wed Jun 05 2019 05:42:45 GMT-0700 (Pacific Daylight Time),Auto Claims Adjuster,,Former Employee,Negative,Doesn't Recommend,,Could be worse,1,,,,,3.0,3.0,3.0,3.0,3.0,2.0
Tue Jun 25 2019 10:44:21 GMT-0700 (Pacific Daylight Time),Marketing,,Current Employee,Negative,Doesn't Recommend,,"Manager: ""Maybe Liberty doesn't want you, either",3,,,,,1.0,1.0,1.0,1.0,1.0,1.0
Tue May 28 2019 10:14:18 GMT-0700 (Pacific Daylight Time),Claims Resolution Specialist,"Lake Mary, FL",Current Employee,Neutral,Doesn't Recommend,,"Good Benefits, Poor Management",5,3,,,,3.0,4.0,1.0,1.0,4.0,1.0
Tue May 28 2019 12:47:21 GMT-0700 (Pacific Daylight Time),Senior Underwriter,,Former Employee,Neutral,Doesn't Recommend,,Strong Benefits; Management Issues,3,3,,,,3.0,4.0,3.0,1.0,4.0,
Sat May 25 2019 10:18:56 GMT-0700 (Pacific Daylight Time),Agile Product Owner,"Seattle, WA",Current Employee,Neutral,Doesn't Recommend,,"A company that wants to adapt how they do business, but doesn't want to change.",8,4,,,,3.0,5.0,3.0,3.0,4.0,2.0
Tue May 14 2019 14:56:58 GMT-0700 (Pacific Daylight Time),Claims Representative,"Plano, TX",Current Employee,Neutral,Doesn't Recommend,,A Great company to work for!,1,1,,,,5.0,5.0,5.0,5.0,5.0,5.0
Sat Jun 22 2019 04:14:52 GMT-0700 (Pacific Daylight Time),Senior Field Claims Adjuster,"Cleveland, OH",Former Employee,Neutral,Doesn't Recommend,,Technology that doesn't work and micromanagement,1,2,,,,1.0,1.0,1.0,2.0,4.0,1.0
Fri May 10 2019 09:08:54 GMT-0700 (Pacific Daylight Time),Paralegal,"Carmel, IN",Former Employee,Neutral,Doesn't Recommend,,Positive,8,1,,,,5.0,,,,,
Mon May 20 2019 09:34:49 GMT-0700 (Pacific Daylight Time),Underwriting Assistant,"Warrenville, IL",Former Employee,Neutral,Doesn't Recommend,,Great Benefits and Good Work/Life Balance,8,3,,,,3.0,4.0,4.0,3.0,5.0,2.0
Sat Jun 15 2019 13:10:32 GMT-0700 (Pacific Daylight Time),Senior Brand Manager,,Current Employee,Neutral,Doesn't Recommend,,Position,,2,,,,1.0,1.0,1.0,2.0,5.0,1.0
Sun Jun 09 2019 17:55:58 GMT-0700 (Pacific Daylight Time),Product Owner,"Boston, MA",Former Employee,Neutral,Doesn't Recommend,,"If You Work In Tech, Don't Come To Liberty",5,10,,,,1.0,4.0,1.0,1.0,3.0,1.0
Thu May 23 2019 12:28:20 GMT-0700 (Pacific Daylight Time),Senior Commercial Underwriter,"Plano, TX",Current Employee,Neutral,Doesn't Recommend,,Poor work/life balance,3,1,,,,2.0,1.0,3.0,3.0,4.0,2.0
Mon Jun 10 2019 09:44:46 GMT-0700 (Pacific Daylight Time),Sales Representative,"Dallas, TX",Former Employee,Negative,Doesn't Recommend,,Worked there almost a decade,8,5,,,,1.0,1.0,1.0,1.0,2.0,1.0
Sun May 19 2019 08:02:44 GMT-0700 (Pacific Daylight Time),Sales Representative,,Former Employee,Negative,Doesn't Recommend,,"Great team and strong leadership, misguided salary expectations",,2,,,,3.0,4.0,3.0,4.0,3.0,4.0
Tue May 07 2019 14:47:54 GMT-0700 (Pacific Daylight Time),Disability Case Manager,"Hartford, CT",Former Employee,Negative,Doesn't Recommend,,Loved working here!,5,,,,,5.0,5.0,5.0,4.0,5.0,4.0
Wed May 08 2019 07:59:43 GMT-0700 (Pacific Daylight Time),Investment Banking Analyst,,Current Employee,Negative,Doesn't Recommend,,Strong Company benefits - good matching,,,,,,5.0,,,,,
Tue May 07 2019 10:51:42 GMT-0700 (Pacific Daylight Time),Senior Underwriter,,Current Employee,Negative,Doesn't Recommend,,Great Company,1,,,,,4.0,4.0,4.0,3.0,4.0,3.0
Sat May 18 2019 10:27:38 GMT-0700 (Pacific Daylight Time),Customer Claims Representative,,Current Employee,Negative,Doesn't Recommend,,Best Call Center,1,1,,,,3.0,3.0,4.0,3.0,3.0,3.0
Sat May 18 2019 17:14:44 GMT-0700 (Pacific Daylight Time),Claims Adjuster,,Current Employee,Negative,Doesn't Recommend,,Ehh,,1,,,,3.0,,,,,
Tue May 14 2019 06:21:30 GMT-0700 (Pacific Daylight Time),Liberty Mutual,"Hoffman Estates, IL",Current Employee,Negative,Doesn't Recommend,,Job Review,1,3,,,,3.0,2.0,3.0,3.0,4.0,2.0
Thu May 02 2019 19:17:34 GMT-0700 (Pacific Daylight Time),Anonymous Employee,,Former Employee,Negative,Doesn't Recommend,,"Mostly enjoyed my jobs, always enjoyed my colleagues. Big company with lots of resources",,,,,,4.0,,,,,
Wed May 01 2019 13:22:42 GMT-0700 (Pacific Daylight Time),Senior Software Developer,"Seattle, WA",Current Employee,Negative,Doesn't Recommend,,Great place to work,1,,,,,4.0,3.0,4.0,4.0,4.0,3.0
Thu May 02 2019 07:23:37 GMT-0700 (Pacific Daylight Time),Claims Specialist,"Suwanee, GA",Former Employee,Positive,Recommends,,Good company going through some changes,3,,,,,4.0,5.0,3.0,5.0,4.0,4.0
Mon Apr 22 2019 11:44:56 GMT-0700 (Pacific Daylight Time),Claims Specialist,"Plano, TX",Current Employee,Positive,Recommends,,Fairly straight forward,1,3,,,,4.0,3.0,3.0,5.0,4.0,3.0
Mon May 13 2019 17:50:30 GMT-0700 (Pacific Daylight Time),Field Claims Adjuster,,Current Employee,Positive,Recommends,,Great benefits,,,,,,3.0,,,,,
Mon Apr 29 2019 06:18:47 GMT-0700 (Pacific Daylight Time),Personal Rater,,Current Employee,Positive,Recommends,,Great place to work,3,,,,,5.0,5.0,5.0,5.0,3.0,5.0
Fri May 31 2019 08:19:30 GMT-0700 (Pacific Daylight Time),Anonymous Employee,,Former Employee,Positive,Recommends,,Home office is full of egotistical airheads,,4,,,,1.0,3.0,2.0,3.0,3.0,1.0
Thu May 09 2019 18:29:45 GMT-0700 (Pacific Daylight Time),Large Loss Adjuster,"San Diego, CA",Former Employee,Positive,Recommends,,property adjuster,3,,,,,3.0,3.0,2.0,2.0,3.0,3.0
Thu Apr 18 2019 12:16:53 GMT-0700 (Pacific Daylight Time),Claims Customer Care Associate,"Liberty Lake, WA",Former Employee,Positive,Recommends,,Excellent Company with Integrity,1,2,,,,4.0,5.0,5.0,4.0,5.0,4.0
Fri May 24 2019 10:01:49 GMT-0700 (Pacific Daylight Time),Insurance Assistant,"Springfield, MA",Former Employee,Positive,Recommends,,Don’t walk....RUN,,7,,,,1.0,,,,,
Fri Apr 26 2019 07:23:06 GMT-0700 (Pacific Daylight Time),Anonymous Employee,,Former Employee,Positive,Recommends,,Stuck in another era,,9,,,,2.0,2.0,1.0,2.0,4.0,2.0
Tue Apr 02 2019 15:18:51 GMT-0700 (Pacific Daylight Time),Retention Specialist,"Phoenix, AZ",Former Employee,Positive,Recommends,,"Stable but stressful, overpaid executives",1,7,,,,4.0,3.0,4.0,4.0,3.0,3.0
Sat Apr 20 2019 18:03:28 GMT-0700 (Pacific Daylight Time),Senior Inside Sales Representative,"Orlando, FL",Former Employee,Positive,Recommends,,Good position,1,,,,,5.0,3.0,5.0,3.0,4.0,5.0
Wed Apr 17 2019 13:22:55 GMT-0700 (Pacific Daylight Time),Senior Analyst,"Boston, MA",Former Employee,Positive,Recommends,,Great benefits,8,1,,,,4.0,4.0,5.0,3.0,5.0,4.0
Thu May 23 2019 14:09:23 GMT-0700 (Pacific Daylight Time),CRC,"Chandler, AZ",Current Employee,Positive,Recommends,,AWFUL Company ! No work life balance and a computer program is to set your fate!,3,3,,,,1.0,1.0,1.0,1.0,3.0,2.0
Wed Apr 24 2019 06:56:41 GMT-0700 (Pacific Daylight Time),Data Analyst,,Current Employee,Positive,Recommends,,Great company but unstable with changes,1,5,,,,3.0,5.0,3.0,3.0,5.0,3.0
